time,stamp_sonde,stamp_ros,latitude,longitude,temperature,conductivity
1467929115492460000,1467943044000000000,1467929115485030000,34.1090905,-117.712714333,27.1299991608,686.799987793
1467929121493740000,1467943046000000000,1467929121489840000,34.1090923333,-117.7127145,27.1240005493,686.83001709
1467929127495850000,1467943050000000000,1467929127487440000,34.1090931667,-117.712713667,27.1130008698,686.869995117
1467929133497100000,1467943052000000000,1467929133485760000,34.109095,-117.712713,27.1089992523,686.890014648
1467929139500220000,1467943056000000000,1467929139489240000,34.1090966667,-117.712712,27.1040000916,686.929992676
1467929145501500000,1467943058000000000,1467929145488570000,34.1090981667,-117.712711,27.1019992828,686.950012207
1467929151502810000,1467943062000000000,1467929151489010000,34.1091001667,-117.712710333,27.0979995728,686.969970703
1467929157504710000,1467943064000000000,1467929157489820000,34.1091023333,-117.7127105,27.0960006714,686.969970703
1467929163506600000,1467943068000000000,1467929163485310000,34.1091043333,-117.7127115,27.0909996033,686.900024414
1467929169508030000,1467943070000000000,1467929169488960000,34.1091053333,-117.712711333,27.0890007019,686.880004883
1467929175509130000,1467943074000000000,1467929175489730000,34.109106,-117.7127105,27.0890007019,686.840026855
1467929181510420000,1467943076000000000,1467929181488840000,34.1091073333,-117.71271,27.0879993439,686.83001709
1467929187511710000,1467943080000000000,1467929187488690000,34.1091091667,-117.712709333,27.0860004425,686.789978027
1467929193513010000,1467943082000000000,1467929193493110000,34.1091096667,-117.712707667,27.0839996338,686.770019531
1467929199514610000,1467943086000000000,1467929199487820000,34.1091113333,-117.712707333,27.0760002136,686.690002441
1467929205515480000,1467943088000000000,1467929205492860000,34.1091136667,-117.712706333,27.0709991455,686.640014648
1467929211516600000,1467943092000000000,1467929211488610000,34.1091153333,-117.712705833,27.0629997253,686.549987793
1467929217517930000,1467943094000000000,1467929217487650000,34.1091166667,-117.7127055,27.0580005646,686.530029297
1467929223521120000,1467943098000000000,1467929223488730000,34.1091175,-117.712703833,27.045999527,686.489990234
1467929229522420000,1467943100000000000,1467929229489030000,34.1091183333,-117.712703667,27.0370006561,686.469970703
1467929235523630000,1467943104000000000,1467929235490630000,34.1091186667,-117.712701167,27.0149993896,686.450012207
1467929241490870000,1467943106000000000,1467929241489580000,34.1091196667,-117.7127005,27.0030002594,686.440002441
1467929247491980000,1467943110000000000,1467929247488410000,34.1091215,-117.7126995,26.9769992828,686.41998291
1467929253493170000,1467943112000000000,1467929253490450000,34.1091226667,-117.712699,26.9659996033,686.400024414
1467929259494330000,1467943116000000000,1467929259491270000,34.1091236667,-117.712698333,26.9519996643,686.309997559
1467929265496810000,1467943118000000000,1467929265492320000,34.109125,-117.7126975,26.9510002136,686.219970703
1467929271499880000,1467943122000000000,1467929271486880000,34.1091251667,-117.7126955,26.9580001831,685.960021973
1467929277502000000,1467943124000000000,1467929277490260000,34.1091253333,-117.712695333,26.9650001526,685.83001709
1467929283503180000,1467943128000000000,1467929283488610000,34.109126,-117.712693667,26.9810009003,685.650024414
1467929289504280000,1467943130000000000,1467929289490720000,34.1091271667,-117.712692167,26.9890003204,685.599975586
1467929295505440000,1467943134000000000,1467929295488930000,34.1091273333,-117.712691,27.0020008087,685.58001709
1467929301506990000,1467943136000000000,1467929301489130000,34.1091283333,-117.712689833,27.0079994202,685.58001709
1467929307508290000,1467943140000000000,1467929307489510000,34.109129,-117.712689,27.0219993591,685.570007324
1467929313509530000,1467943142000000000,1467929313492680000,34.1091308333,-117.7126885,27.031999588,685.549987793
1467929319510880000,1467943146000000000,1467929319488460000,34.1091328333,-117.712687833,27.045999527,685.530029297
1467929325512010000,1467943148000000000,1467929325490660000,34.109134,-117.712687,27.0520000458,685.539978027
1467929331513150000,1467943152000000000,1467929331490590000,34.1091355,-117.7126865,27.0620002747,685.570007324
1467928701520450000,1467942836000000000,1467928701482900000,34.1091383333,-117.712686333,27.1639995575,687.030029297
1467928707487820000,1467942840000000000,1467928707482980000,34.1091406667,-117.712685333,27.1830005646,687.049987793
1467928713489830000,1467942842000000000,1467928713482240000,34.1091425,-117.712684333,27.1909999847,687.059997559
1467928719491200000,1467942846000000000,1467928719482320000,34.109144,-117.712683167,27.2049999237,687.059997559
1467928725493600000,1467942848000000000,1467928725481820000,34.1091441667,-117.712682333,27.2119998932,687.059997559
1467928731494990000,1467942852000000000,1467928731481400000,34.1091446667,-117.712681167,27.2280006409,687.059997559
1467928737496540000,1467942854000000000,1467928737482270000,34.1091455,-117.712678833,27.2380008698,687.08001709
1467928743497730000,1467942858000000000,1467928743482210000,34.109148,-117.712677333,27.2619991302,687.109985352
1467928749499880000,1467942860000000000,1467928749481200000,34.1091496667,-117.712676333,27.2709999084,687.130004883
1467928755501120000,1467942864000000000,1467928755482760000,34.109152,-117.712675667,27.2740001678,687.150024414
1467928761502810000,1467942866000000000,1467928761482390000,34.1091546667,-117.712674833,27.2670001984,687.150024414
1467928767505320000,1467942870000000000,1467928767482630000,34.1091565,-117.712674,27.2369995117,687.08001709
1467928773505650000,1467942872000000000,1467928773481250000,34.1091573333,-117.7126735,27.218000412,687.030029297
1467928779508070000,1467942876000000000,1467928779482290000,34.1091575,-117.712671667,27.1790008545,686.91998291
1467928785510040000,1467942878000000000,1467928785483780000,34.1091578333,-117.71267,27.1590003967,686.820007324
